House refurbishment,Renovation or restoration of an existing house,Q3
House extensions,Addition of a new section or space to an existing house,Q3
Loft conversion,Conversion of an unused loft space into a habitable room,Q3
Porch,Covered entrance to a house,Q3
Garage conversion,Conversion of a garage into a habitable room or space,Q3
Basement,Underground room or level below the ground floor of a house,Q3
Outbuilding,"Separate structure on a property, usually for storage or other non-residential purposes",Q3
Customise,Make changes to suit individual preferences or needs,Q3
refurbishment,The process of renovating or improving an existing building,Q4
structural alterations,"Changes to the load-bearing elements of a building, such as the walls, floors, or roof",Q4
non-structural alterations,"Changes to the non-load-bearing elements of a building, such as the finishes, fixtures, or fittings",Q4
Refurbishment,The process of renovating or improving a building or structure.,Q5
Structural alterations,Changes to the load-bearing elements of a building or structure.,Q5
Demolition,The act of tearing down or destroying a building or structure.,Q5
Extension,"An addition to an existing building, typically increasing the floor area.",Q6
Garage,A building or part of a building used for housing a motor vehicle.,Q6
Porch,"A covered entrance to a building, typically with a roof supported by columns.",Q6
Outbuilding,"A small building located on a property, separate from the main house.",Q6
Conservatory,"A glass-enclosed room attached to a house, used for growing plants.",Q6
Pergola,"A structure consisting of a framework of beams and columns, typically used to support climbing plants.",Q6
Rear extension,An extension that is added to the back of a house.,Q11
Side extension,An extension that is added to the side of a house.,Q11
Rear and side extensions,An extension that is added to both the back and side of a house.,Q11
Conservatory,"A room with a glass roof and walls, typically used as a living space.",Q11
Pergola,"A structure with a latticework of beams, typically used to support climbing plants.",Q11
Flat,"A flat roof is a roof that is flat or nearly flat, with a slope of less than 10 degrees.",Q12
Pitched,A pitched roof is a roof that has a slope of more than 10 degrees.pitched roof,Q12
Half pitched,A half pitched roof is a roof that has a slope of between 10 and 45 degrees.,Q12
Crown,The crown of a roof is the highest point of the roof.,Q12
Kitchen,A room or area where food is prepared and cooked.,Q13
Utility room,"A room or area used for household chores such as laundry, ironing, and storage.",Q13
Bathroom,"A room or area containing a toilet, sink, and bathtub or shower.",Q13
Shower,A fixture that sprays water over a person for bathing.,Q13
Toilet,A fixture used for the disposal of human waste.,Q13
Storage,The act or process of keeping something for future use.,Q13
Study,A room or area used for studying or working.,Q13
Library,A room or building containing a large collection of books.,Q13
Playroom,A room or area used for children to play in.,Q13
Bedroom,A room or area used for sleeping.,Q13
Gym,A room or area used for physical exercise.,Q13
Spa room,A room or area used for relaxation and rejuvenation.,Q13
Home cinema,A room or area used for watching movies or television.,Q13
Music room,A room or area used for making or listening to music.,Q13
Loft conversion,Loft conversion is the conversion of a loft space into a usable room or rooms.,Q14
Skylight loft conversion,A skylight loft conversion is a type of loft conversion that involves the installation of a skylight in the roof of the loft.,Q14
Dormer loft conversion,A dormer loft conversion is a type of loft conversion that involves the construction of a dormer window in the roof of the loft.,Q14
Hip-to-gable loft conversion,A hip-to-gable loft conversion is a type of loft conversion that involves the conversion of a hipped roof into a gabled roof.,Q14
Mansard loft conversion,A mansard loft conversion is a type of loft conversion that involves the construction of a mansard roof.,Q14
L-shaped dormer loft conversion,An L-shaped dormer loft conversion is a type of loft conversion that involves the construction of an L-shaped dormer window in the roof of the loft.,Q14
Loft,"A loft is a room or space that is located in the roof of a building, typically accessed by a ladder or stairs.",Q15
Porch,"A covered entrance to a building, typically with a roof supported by columns or pillars.",Q16
Flat roof,"A roof with a slight slope, typically less than 10 degrees.",Q16
Pitched roof,"A roof with a sloping surface, typically greater than 10 degrees.",Q16
Half pitched roof,A roof with a slope of approximately 45 degrees.,Q16
Crown,The highest point of a pitched roof.,Q16
Garage conversion integrated (under 1st floor),"A garage conversion that is integrated into the existing structure of the house, typically by converting the space beneath the first floor.",Q17
Garage conversion attached,"A garage conversion that is attached to the main structure of the house, but has its own separate entrance and is not integrated into the living space.",Q17
Garage conversion free-standing,"A garage conversion that is completely separate from the main structure of the house, typically located in the backyard or on a side lot.",Q17
Flat,A roof with a slope of less than 10 degrees.,Q18
Pitched,A roof with a slope of more than 10 degrees.,Q18
Half pitched,A roof with a slope of between 10 and 45 degrees.,Q18
Crown,The highest point of a pitched roof.,Q18
Garage conversion,Converting a garage into a habitable space such as a room or playroom,Q19
Basement,A basement is a floor of a building that is below ground level.,Q20
Kitchen,A kitchen is a room in a house or apartment that is used for cooking and preparing food.,Q20
Utility room,"A utility room is a room in a house or apartment that is used for storing and maintaining household appliances, such as a washing machine and dryer.",Q20
Bathroom,"A bathroom is a room in a house or apartment that is used for bathing, showering, and brushing teeth.",Q20
Shower,"A shower is a device that is used for bathing, in which water is sprayed down from a nozzle onto the user's body.",Q20
Toilet,A toilet is a device that is used for disposing of human waste.,Q20
Storage,Storage is the act of storing things in a place for future use.,Q20
Study,A study is a room in a house or apartment that is used for studying or working.,Q20
Library,"A library is a room or building that contains a collection of books and other materials for reading, reference, or study.",Q20
Playroom,A playroom is a room in a house or apartment that is used for children to play in.,Q20
Bedroom,A bedroom is a room in a house or apartment that is used for sleeping.,Q20
Gym,A gym is a room or building that is used for exercising.,Q20
Home cinema,A home cinema is a room in a house or apartment that is used for watching movies and television.,Q20
Music room,A music room is a room in a house or apartment that is used for playing music.,Q20
Crown,The highest point of a roof.,Q22
Flat,A roof that is level with the horizon.,Q22
Pitched,A roof that is sloped.,Q22
Outbuilding,"A separate building on a property, typically used for storage or other non-residential purposes.",Q23
Basement,"The lowest level of a building, typically below ground level, used for storage or other purposes.",Q26
Ground floor,The lowest floor of a building that is level with the ground.,Q26
1st floor,The first floor above the ground floor.,Q26
2nd floor,The second floor above the ground floor.,Q26
3rd floor,The third floor above the ground floor.,Q26
Rooms,"A room is a space within a building that is separated from other spaces by walls, doors, or windows. Rooms are typically used for specific purposes, such as sleeping, eating, or working.",Q27
living room,"A room used for relaxation, entertainment, or socializing",Q30
sitting room,"A room used for relaxing and entertaining guests, typically furnished with comfortable seating and a fireplace",Q30
TV room,"A room dedicated to watching television, typically equipped with a comfortable seating area and a large screen TV",Q30
library,"A room containing a collection of books and other printed materials, often used for studying, research, or quiet contemplation",Q30
guest room,A room in a house or apartment that is used to accommodate guests,Q30
utility room,"A room used for storage, laundry, or other household chores, typically equipped with a sink, washing machine, and dryer",Q30
play room,"A room designated for children to play, often equipped with toys, games, and other play equipment",Q30
gym,"A room dedicated to physical fitness, typically equipped with exercise equipment such as treadmills, bikes, and weightlifting equipment",Q30
pray room,A room designed for religious practices and meditation,Q30
study,"A room used for studying, reading, or working, typically equipped with a desk, chair, and bookshelves",Q30
master bedroom,"The main bedroom in a house or apartment, typically the largest and most luxuriously appointed",Q30
hallway,A passageway connecting rooms in a house or apartment,Q30
